zip,num_stations,num_incidents,incidents_to_stations_ratio,timestamp
37221,2,2.0,1.0,Nov-13hr-43min
37013,3,8.0,2.6666666666666665,Nov-13hr-48min
37072,2,0.0,0.0,Nov-13hr-48min
37076,1,0.0,0.0,Nov-13hr-48min
37080,1,0.0,0.0,Nov-13hr-48min
37115,2,0.0,0.0,Nov-13hr-48min
37138,1,0.0,0.0,Nov-13hr-48min
37203,2,0.0,0.0,Nov-13hr-48min
37204,1,2.0,2.0,Nov-13hr-48min
37205,2,1.0,0.5,Nov-13hr-48min
37206,2,0.0,0.0,Nov-13hr-48min
37207,3,0.0,0.0,Nov-13hr-48min
37208,1,2.0,2.0,Nov-13hr-48min
37209,2,9.0,4.5,Nov-13hr-48min
37210,2,2.0,1.0,Nov-13hr-48min
37211,4,2.0,0.5,Nov-13hr-48min
37212,2,0.0,0.0,Nov-13hr-48min
37214,2,3.0,1.5,Nov-13hr-48min
37215,1,3.0,3.0,Nov-13hr-48min
37216,1,2.0,2.0,Nov-13hr-48min
37217,1,0.0,0.0,Nov-13hr-48min
37218,1,0.0,0.0,Nov-13hr-48min
37221,2,0.0,0.0,Nov-13hr-48min
37013,3,8.0,2.6666666666666665,Nov-13hr-53min
37072,2,1.0,0.5,Nov-13hr-53min
37076,1,0.0,0.0,Nov-13hr-53min
37080,1,0.0,0.0,Nov-13hr-53min
37115,2,0.0,0.0,Nov-13hr-53min
37138,1,0.0,0.0,Nov-13hr-53min
37203,2,0.0,0.0,Nov-13hr-53min
37204,1,1.0,1.0,Nov-13hr-53min
37205,2,1.0,0.5,Nov-13hr-53min
37206,2,2.0,1.0,Nov-13hr-53min
37207,3,0.0,0.0,Nov-13hr-53min
37208,1,2.0,2.0,Nov-13hr-53min
37209,2,9.0,4.5,Nov-13hr-53min
37210,2,4.0,2.0,Nov-13hr-53min
37211,4,2.0,0.5,Nov-13hr-53min
37212,2,0.0,0.0,Nov-13hr-53min
37214,2,2.0,1.0,Nov-13hr-53min
37215,1,3.0,3.0,Nov-13hr-53min
37216,1,2.0,2.0,Nov-13hr-53min
37217,1,0.0,0.0,Nov-13hr-53min
37218,1,0.0,0.0,Nov-13hr-53min
37221,2,0.0,0.0,Nov-13hr-53min
37013,3,6.0,2.0,Nov-13hr-59min
37072,2,1.0,0.5,Nov-13hr-59min
37076,1,0.0,0.0,Nov-13hr-59min
37080,1,0.0,0.0,Nov-13hr-59min
37115,2,0.0,0.0,Nov-13hr-59min
37138,1,0.0,0.0,Nov-13hr-59min
37203,2,2.0,1.0,Nov-13hr-59min
37204,1,1.0,1.0,Nov-13hr-59min
37205,2,2.0,1.0,Nov-13hr-59min
37206,2,2.0,1.0,Nov-13hr-59min
37207,3,0.0,0.0,Nov-13hr-59min
37208,1,2.0,2.0,Nov-13hr-59min
37209,2,3.0,1.5,Nov-13hr-59min
37210,2,3.0,1.5,Nov-13hr-59min
37211,4,0.0,0.0,Nov-13hr-59min
